"","Z_score","log_fc","conv","d","p_val"
"Ebf3",7.97811008219207,-14.2511000052803,TRUE,-1.11474701691705e-09,1.55431223447522e-15
"Ntsr1",5.40572605004855,-5.58652246660087,TRUE,2.31486664767355e-08,6.45463877901875e-08
"Htr2c",4.95618149156135,3.6072826400599,TRUE,9.10382880192628e-15,7.18920659226185e-07
"Gabra1",4.83165564358764,-2.29384547925233,TRUE,-7.14537029544715e-09,1.35402304324295e-06
"Greb1",4.14262667098815,4.40265602816179,TRUE,1.52499997074784e-08,3.43350614817606e-05
"Glra3",4.11408045745149,-2.24009945391032,TRUE,-1.74477432757225e-06,3.88725846158788e-05
"Dgkk",3.88424130413005,2.6389685726297,TRUE,3.0364599723498e-14,0.000102649922129272
"Nos1",3.77928682940549,2.21527301278799,TRUE,2.77596238183742e-09,0.000157278172104869
