"","Z_score","log_fc","conv","p_val"
"Paip2",3.77844533422811,0.204026704504048,TRUE,0.00220934678033791
"Rps19bp1",3.77636657705011,0.278777364838251,TRUE,0.00222785835090589
"Tuba4a",3.76764079388632,0.170424903041288,TRUE,0.00230716639357276
"Mt1",3.75845768501052,0.443988899904802,TRUE,0.00239349521527821
"H2afv",3.74183199163144,0.609717336577187,TRUE,0.00255757090502184
"Cct5",3.74088280586438,0.412615574078824,TRUE,0.00256725024197202
"Cebpg",3.73894701750223,0.207688603547136,TRUE,0.00258709730774376
"Blvrb",3.73729517253884,0.611469391426227,TRUE,0.00260414714900259
"2010107E04Rik",3.72870709033176,0.378796157768113,TRUE,0.00269450588798037
"Rpl14",3.71970879561648,0.232762190400499,TRUE,0.00279233648257726
"Jtb",3.71619359535247,0.347261627885859,TRUE,0.00283145296055354
"Ndufs8",3.71369750464245,0.379599229317832,TRUE,0.00285954089630369
"G3bp1",3.70847056847195,0.217165924046831,TRUE,0.00291920847009308
"Pnn",3.69573400713035,0.16960202723333,TRUE,0.00306953400291787
"Dpysl3",3.69476115888949,0.266883692002134,TRUE,0.0030813100460656
"Id3",3.68422226385852,1.17088330256299,TRUE,0.0032116280673451
"Hnrnpab",3.68410530748205,0.29750691710583,TRUE,0.00321310288682941
"Top1",3.68360489008051,0.273627900855316,TRUE,0.00321942032938249
"Nfib",3.67033240257727,0.630969005385648,TRUE,0.00339129356816281
"Osbpl3",3.66861081823315,0.328654431493387,TRUE,0.00341420776901025
"Anxa1",3.66838314390687,0.377101776968368,TRUE,0.00341724895378315
"Gak",3.66595782021108,0.985467236992109,TRUE,0.00344980358481717
"2200002D01Rik",3.6575291349022,0.3508986090706,TRUE,0.00356521648609354
"Tspan3",3.63239764081287,0.241629095429924,TRUE,0.00393119963654076
"Tnnt2",3.62881181782637,0.283800731737871,TRUE,0.00398620168578079
"Msn",3.62341969284417,0.42459208910497,TRUE,0.00407026899603613
"Ywhaz",3.61552300704697,0.328812694173969,TRUE,0.00419638591706839
"Igfbp4",3.61284951043055,0.0815797639329787,TRUE,0.0042399068004948
"Kdelr1",3.61275332163741,0.508074500219343,TRUE,0.00424148047258965
"Flot1",3.6102777383474,1.1513712237152,TRUE,0.00428217030163003
"Atf4",3.60548159038578,0.189630245172858,TRUE,0.00436204411248298
"Sdf2",3.58849780753238,0.658461717219899,TRUE,0.00465624305823864
"Slc1a5",3.5882931455949,0.224810734815459,TRUE,0.00465989892965313
"Ube2q1",3.58410748935192,0.769326037381409,TRUE,0.00473525896171001
"Fh1",3.58222278269879,0.797846981677998,TRUE,0.00476956285995911
"Tex261",3.58057039051145,0.840277489236763,TRUE,0.00479982949326363
"Tacc3",3.57998499561723,0.706469133798625,TRUE,0.00481059512290072
"Psca",3.5721694430367,0.568793114664123,TRUE,0.00495650698981054
"Usp7",3.56826529384493,0.2601826914069,TRUE,0.0050309357605105
"Cdk11b",3.56329093659189,0.815308982024511,TRUE,0.00512728145593
"Pcolce",3.55987370163684,0.521975166115156,TRUE,0.00519446473309593
"Ndrg2",3.55591716553986,0.214493316171186,TRUE,0.00527327851049364
"Incenp",3.55502897707627,0.219340087549141,TRUE,0.00529112409182986
"Gnas",3.5449955639991,0.222199033189583,TRUE,0.00549667571158352
"Ube2f",3.54382653442657,0.294502622658717,TRUE,0.00552110471402045
"Adgrl3",3.54336407324825,0.925155432256693,TRUE,0.00553079665638379
"Arpc1b",3.53879156921058,0.182850306895316,TRUE,0.00562748339220764
"Usmg5",3.51604197793365,0.150090984868347,TRUE,0.00613244410143876
"Kdm3a",3.51418714369472,0.286236247757694,TRUE,0.00617542703009866
"Ogdh",3.4943717803548,0.330912374315434,TRUE,0.00665250315965515
"Maml3",3.48599242986102,0.825670916190053,TRUE,0.00686440831810931
"1700123O20Rik",3.48330048989255,0.329379889621503,TRUE,0.0069338096637388
"Rdh10",3.48322967625364,0.189745073559022,TRUE,0.0069356441230437
"Fkbp10",3.48256370193927,0.483689637813286,TRUE,0.00695291864353687
"Rps15a",3.47958515818033,0.270968258096228,TRUE,0.00703067033309823
"Ptms",3.4750868894037,0.542197785600255,TRUE,0.0071496306900487
"Rpl37a",3.4736574495423,0.789820407156823,TRUE,0.00718782451586675
"2010111I01Rik",3.47230560482286,0.635814653594138,TRUE,0.00722411994712635
"Dda1",3.47107229631996,0.87302089540189,TRUE,0.00725738176968838
