"","Z_score","log_fc","conv","p_val"
"Lyz2",5.14659056381669,1.45038901473883,TRUE,3.71368799978455e-06
"Hp",4.63755809223558,1.59054996665549,TRUE,4.93569356505574e-05
"Stab1",4.41222159968419,3.08265857598646,TRUE,0.000143241437938535
"Ahsg",4.39813071302709,1.53261668738484,TRUE,0.000152862101964413
