"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","mean 4","sd 1","sd 2","sd 3","sd 4"
"Malat1",0.180682804226071,-0.821524807374738,0.14387513702921,-5.70998453477023,0.866506769546376,0.0115611808793877,1.63152419654367e-05,1.12986440203855e-08,-0.728987781850341,-0.636648981850763,-0.702251007202587,-1.26440259775829,0.211875675473861,0.253168512359414,0.193949042581173,0.244091634557909
"Mobp",0.201716395302489,-0.547207068971378,0.11877787938232,-4.60697793071417,1,0.00449974394553125,0.00294982735042026,4.08563344933555e-06,-0.71519157411558,-0.581632685101119,-0.220319535938121,-0.734312901297932,0.135540742167007,0.136456338427262,0.0943596432036465,0.135633580297311
"Plekhb1",0.0959966709165203,-0.49492782856537,0.11333537534711,-4.36693156968477,1,0.000799080614514709,0.00454875100080177,1.26004182847694e-05,-0.659119399831924,-0.309560500633415,-0.359523766647838,-0.796161330055569,0.229785146387833,0.220250379812991,0.15768406637806,0.239128320347824
"Apod",0.169199599658944,-0.476328223115321,0.11332947569833,-4.2030391491729,1,0.00531065471521692,0.00760569295074287,2.63355019070044e-05,-0.754803347070712,-0.495678630581812,-0.201089422335325,-0.543710540665545,0.168235909970728,0.160533412874855,0.117562937883771,0.160785485702148
